Theta   Phi   Ki
37.00   212.00   -0.0072948800
37.00   215.00   -0.0156796000
37.00   218.00   -0.0256045000
37.00   221.00   -0.0318695000
37.00   224.00   -0.0207013000
37.00   227.00   -0.0063996100
37.00   230.00   -0.0025026200
37.00   233.00   0.0148960000
37.00   236.00   0.0140262000
37.00   239.00   0.0154568000
37.00   242.00   0.0137312000
37.00   245.00   0.0093882500
37.00   248.00   -0.0103415000
37.00   251.00   -0.0157292000
37.00   254.00   -0.0281574000
37.00   257.00   -0.0321221000
37.00   260.00   -0.0280145000
37.00   263.00   -0.0179465000
37.00   266.00   -0.0013938300
37.00   269.00   0.0017638500
37.00   272.00   0.0131134000
37.00   275.00   0.0054640000
37.00   278.00   0.0027404500
37.00   281.00   0.0141697000
37.00   284.00   0.0233585000
40.00   47.00   0.0313504000
40.00   50.00   0.0321861000
40.00   53.00   0.0274299000
40.00   56.00   0.0338763000
40.00   59.00   0.0318679000
40.00   62.00   0.0270516000
40.00   65.00   0.0134938000
40.00   68.00   0.0015067400
40.00   71.00   -0.0056148300
40.00   74.00   -0.0086206100
40.00   77.00   -0.0224335000
40.00   80.00   -0.0233762000
40.00   83.00   -0.0070320100
40.00   86.00   0.0001487470
40.00   89.00   -0.0059526600
40.00   92.00   -0.0111176000
40.00   95.00   -0.0080555800
40.00   98.00   -0.0229979000
40.00   101.00   -0.0294935000
40.00   104.00   -0.0186965000
40.00   107.00   -0.0115470000
40.00   110.00   -0.0049786100
40.00   113.00   0.0036492600
40.00   116.00   0.0183910000
40.00   119.00   0.0144859000
40.00   122.00   0.0042900600
40.00   125.00   0.0050022500
40.00   128.00   -0.0062556500
40.00   131.00   -0.0140351000
40.00   134.00   -0.0274605000
40.00   137.00   -0.0337805000
40.00   140.00   -0.0294126000
40.00   143.00   -0.0165217000
40.00   146.00   -0.0043261800
40.00   149.00   0.0054541900
40.00   152.00   0.0106589000
40.00   155.00   0.0169964000
40.00   158.00   0.0103462000
40.00   161.00   0.0120053000
40.00   164.00   0.0218281000
40.00   167.00   0.0313504000
40.00   170.00   0.0321861000
40.00   173.00   0.0274300000
40.00   176.00   0.0338763000
40.00   179.00   0.0318679000
40.00   182.00   0.0270515000
40.00   185.00   0.0134939000
40.00   188.00   0.0015070500
40.00   191.00   -0.0056149800
40.00   194.00   -0.0086205500
40.00   197.00   -0.0224333000
40.00   200.00   -0.0233762000
40.00   203.00   -0.0070320400
40.00   206.00   0.0001487510
40.00   209.00   -0.0059526100
40.00   212.00   -0.0111177000
40.00   215.00   -0.0080554500
40.00   218.00   -0.0229978000
40.00   221.00   -0.0294936000
40.00   224.00   -0.0186965000
40.00   227.00   -0.0115471000
40.00   230.00   -0.0049786500
40.00   233.00   0.0036492600
40.00   236.00   0.0183909000
40.00   239.00   0.0144860000
40.00   242.00   0.0042899900
40.00   245.00   0.0050024200
40.00   248.00   -0.0062556600
40.00   251.00   -0.0140351000
40.00   254.00   -0.0274607000
40.00   257.00   -0.0337802000
40.00   260.00   -0.0294128000
40.00   263.00   -0.0165221000
40.00   266.00   -0.0043260200
40.00   269.00   0.0054539100
40.00   272.00   0.0106588000
40.00   275.00   0.0169963000
40.00   278.00   0.0103460000
40.00   281.00   0.0120051000
40.00   284.00   0.0218280000
43.00   47.00   0.0210091000
43.00   50.00   0.0057060700
43.00   53.00   -0.0021576300
43.00   56.00   0.0005182610
43.00   59.00   0.0059226400
43.00   62.00   -0.0068055400
43.00   65.00   -0.0175120000
43.00   68.00   -0.0195594000
43.00   71.00   -0.0199250000
43.00   74.00   -0.0182574000
43.00   77.00   -0.0279051000
43.00   80.00   -0.0186234000
43.00   83.00   0.0092557600
43.00   86.00   0.0260517000
43.00   89.00   0.0352385000
43.00   92.00   0.0327292000
43.00   95.00   0.0219413000
43.00   98.00   -0.0107907000
43.00   101.00   -0.0145611000
43.00   104.00   -0.0234710000
43.00   107.00   -0.0124035000
43.00   110.00   -0.0127733000
43.00   113.00   -0.0159310000
43.00   116.00   -0.0149953000
43.00   119.00   -0.0058322700
43.00   122.00   -0.0185781000
43.00   125.00   -0.0244916000
43.00   128.00   -0.0214895000
43.00   131.00   -0.0181327000
43.00   134.00   -0.0230525000
43.00   137.00   -0.0199618000
43.00   140.00   -0.0113450000
43.00   143.00   0.0169514000
43.00   146.00   0.0338268000
43.00   149.00   0.0505554000
43.00   152.00   0.0566527000
43.00   155.00   0.0421136000
43.00   158.00   0.0209335000
43.00   161.00   0.0064477600
43.00   164.00   0.0143336000
43.00   167.00   0.0210089000
43.00   170.00   0.0057061500
43.00   173.00   -0.0021574600
43.00   176.00   0.0005183420
43.00   179.00   0.0059226000
43.00   182.00   -0.0068057200
43.00   185.00   -0.0175120000
43.00   188.00   -0.0195594000
43.00   191.00   -0.0199250000
43.00   194.00   -0.0182572000
43.00   197.00   -0.0279053000
43.00   200.00   -0.0186237000
43.00   203.00   0.0092558500
43.00   206.00   0.0260515000
43.00   209.00   0.0352384000
43.00   212.00   0.0327292000
43.00   215.00   0.0219416000
43.00   218.00   -0.0107904000
43.00   221.00   -0.0145610000
43.00   224.00   -0.0234709000
43.00   227.00   -0.0124034000
43.00   230.00   -0.0127732000
43.00   233.00   -0.0159310000
43.00   236.00   -0.0149954000
43.00   239.00   -0.0058322600
43.00   242.00   -0.0185781000
43.00   245.00   -0.0244918000
43.00   248.00   -0.0214894000
43.00   251.00   -0.0181326000
43.00   254.00   -0.0230524000
43.00   257.00   -0.0199618000
43.00   260.00   -0.0113453000
43.00   263.00   0.0169512000
43.00   266.00   0.0338269000
43.00   269.00   0.0505552000
43.00   272.00   0.0566527000
43.00   275.00   0.0421136000
43.00   278.00   0.0209337000
43.00   281.00   0.0064477000
43.00   284.00   0.0143335000
46.00   47.00   0.0003140070
46.00   50.00   -0.0040724500
46.00   53.00   -0.0201955000
46.00   56.00   -0.0109838000
46.00   59.00   0.0130686000
46.00   62.00   -0.0017782100
46.00   65.00   -0.0291363000
46.00   68.00   -0.0379482000
46.00   71.00   -0.0322623000
46.00   74.00   -0.0294780000
46.00   77.00   -0.0270134000
46.00   80.00   -0.0103481000
46.00   83.00   0.0345366000
46.00   86.00   0.0713115000
46.00   89.00   0.0932615000
46.00   92.00   0.0830911000
46.00   95.00   0.0551243000
46.00   98.00   0.0176251000
46.00   101.00   -0.0143380000
46.00   104.00   -0.0287319000
46.00   107.00   -0.0337105000
46.00   110.00   -0.0399626000
46.00   113.00   -0.0476705000
46.00   116.00   -0.0398633000
46.00   119.00   -0.0371468000
46.00   122.00   -0.0379287000
46.00   125.00   -0.0546380000
46.00   128.00   -0.0577274000
46.00   131.00   -0.0452044000
46.00   134.00   -0.0430741000
46.00   137.00   -0.0351731000
46.00   140.00   -0.0105317000
46.00   143.00   0.0421962000
46.00   146.00   0.0802572000
46.00   149.00   0.0908690000
46.00   152.00   0.1002450000
46.00   155.00   0.0743202000
46.00   158.00   0.0345410000
46.00   161.00   0.0003174180
46.00   164.00   -0.0121672000
46.00   167.00   0.0003136490
46.00   170.00   -0.0040722900
46.00   173.00   -0.0201953000
46.00   176.00   -0.0109837000
46.00   179.00   0.0130686000
46.00   182.00   -0.0017784300
46.00   185.00   -0.0291362000
46.00   188.00   -0.0379484000
46.00   191.00   -0.0322622000
46.00   194.00   -0.0294777000
46.00   197.00   -0.0270139000
46.00   200.00   -0.0103488000
46.00   203.00   0.0345368000
46.00   206.00   0.0713113000
46.00   209.00   0.0932613000
46.00   212.00   0.0830911000
46.00   215.00   0.0551248000
46.00   218.00   0.0176258000
